MDEwOlJlcG9zaXRvcnk0ODAwOTIxNA==,react-native-windows,microsoft,C++,12198,910,2280
MDEwOlJlcG9zaXRvcnkxMDM2NTQxMQ==,medium-editor,yabwe,JavaScript,14556,1749,904
MDEwOlJlcG9zaXRvcnkxODczODQx,onebusaway-android,OneBusAway,Java,370,231,657
MDEwOlJlcG9zaXRvcnk1NjUwNDA0Ng==,owasp-esapi-java,udayinfy,Java,0,0,318
MDEwOlJlcG9zaXRvcnk1NjIyNzc0OA==,owasp-esapi-java,blitzen12,Java,0,0,346
MDEwOlJlcG9zaXRvcnk1NDUxMjc4MQ==,owasp-esapi-java,rajalamourya,Java,0,0,346
MDEwOlJlcG9zaXRvcnk1MjkzMTE2Ng==,owasp-esapi-java,HariniNagarajan,Java,0,0,345
MDEwOlJlcG9zaXRvcnkzNzkxODE4Mg==,owasp-esapi-java,nxbdi,,0,0,344
MDEwOlJlcG9zaXRvcnkzNzMyNjEyOQ==,owasp-esapi-java,anandhachandru,Java,1,0,344
MDEwOlJlcG9zaXRvcnkzNjkzNzAyMw==,owasp-esapi-java,copfee,Java,0,1,344
MDEwOlJlcG9zaXRvcnkzNTMzMDcyNg==,owasp-esapi-java,windbreakerdoss,Java,0,0,344
MDEwOlJlcG9zaXRvcnk1NTQ3ODM3Mg==,owasp-esapi-java,pm-preeta-karmarkar,Java,0,0,346
MDEwOlJlcG9zaXRvcnk1NDcxMTcwMA==,owasp-esapi-java,demba90,Java,0,0,346
MDEwOlJlcG9zaXRvcnkzODIyNDI5MA==,owasp-esapi-java,swe-zzf,Java,0,1,344
MDEwOlJlcG9zaXRvcnkzNDc0MDE0MA==,owasp-esapi-java,vishank848,Java,0,1,344
MDEwOlJlcG9zaXRvcnkzMjYwODQ0NA==,owasp-esapi-java,abimael93,Java,3,2,343
MDEwOlJlcG9zaXRvcnkxNTIzMTIxMg==,jetpack,Automattic,PHP,1206,687,6290
MDEwOlJlcG9zaXRvcnkzNjI0NjAzMw==,owasp-esapi-java,ImAlexzxD,Java,0,0,344
